,Rn_V_myTSEB,Rn_S_myTSEB,LE_V_myTSEB,LE_S_myTSEB,H_V_myTSEB,H_S_myTSEB,G_myTSEB,Trad_V_myTSEB,Trad_S_myTSEB
5286,143.67327995134298,498.0419300436239,36.132630658849735,244.61509471261292,107.54064929249324,81.69413834072594,171.73269699028506,295.0739440917969,296.73508514961
5287,375.08537736601585,101.73201260910292,194.8005074984189,20.58318933357416,180.28486986759694,48.98527532597401,32.16354794955476,293.5605773925781,297.2880359719913
5288,429.2775873569222,187.78046787505582,0.0,-123.24734813863414,429.2775873569222,245.30465225742043,65.72316375626953,299.6448059082031,310.32367367085965
5289,-107.13853990873531,125.12609814200538,-291.1968997397686,252.85437988709697,184.05835983103327,-109.91661567515476,-17.81166606993683,320.49322509765625,299.81939945249036
5290,189.2394619775681,78.75007355987141,46.79541772911364,6.025085792086962,142.44404424845447,45.75654924537623,26.968438522408217,297.60308837890625,299.65060689323883
5291,489.64702125954045,226.93513349074829,0.0,-312.40484782226434,489.64702125954045,459.91268459125075,79.42729672176189,296.9080810546875,313.2331159441894
5292,158.2297729045267,-126.54807423719014,0.0,-1191.2169010502023,158.2297729045267,1108.9606527960286,-44.291825983016544,293.072509765625,315.46198371118913
5293,27.092080550036314,-47.478519260590296,0.0,-165.43254197622528,27.092080550036314,134.57150445684158,-16.617481741206603,291.372802734375,298.8760482640867
5294,601.1108564236087,103.11735524112038,0.0,-359.06373674518045,601.1108564236087,426.0900176519087,36.09107433439213,297.2578430175781,311.837906239571
5295,-125.52738792979078,686.790490185055,-163.5373319027297,427.77553745359535,38.009943972938935,63.49909622170436,195.51585650975528,397.5330810546875,306.7720986854214
5296,155.5192780389496,-38.15204663850864,0.0,-414.9728840531005,155.5192780389496,390.17405373806986,-13.353216323478023,298.1390075683594,309.9379769707911
5297,67.198394472969,-48.63451497801326,0.08834506770551798,-442.7922360888202,67.11004940526348,411.16506642700216,-17.007345316195238,304.91632080078125,313.3346568012169
5298,110.75660870240159,228.0403072183185,0.0,-175.22129091732717,110.75660870240159,323.4474906092342,79.81410752641148,287.69970703125,299.0979261316555
5299,245.86569325433928,21.743335969109324,0.0,-411.1165145002067,245.86569325433928,425.24968288012775,7.610167589188263,317.6165466308594,335.14501572947995
5300,176.26285463386205,-46.47131007652157,0.0,-140.70591278590507,176.26285463386205,110.49956123616604,-16.264958526782546,306.52899169921875,313.59456784070403
5301,399.3565966035183,177.22156256845727,214.16183501230807,11.782930705973214,185.19476159121024,107.52401722596383,57.91461463652023,292.5806884765625,291.85151611450226
5302,291.4383003144012,40.83107654842392,40.07908423546934,31.795428563506324,251.35921607893187,-0.7797126550321551,9.815360639949755,301.36541748046875,300.1729054149586
5303,90.0239475123222,89.34478787729876,0.0,-337.4338909195351,90.0239475123222,395.5080030397793,31.270675757054562,311.2814025878906,324.9421211436964
5304,621.0925995091832,190.6281671697568,214.51929255113743,13.075868927605555,406.57330695804575,112.08751634851565,65.4647818936356,291.5616455078125,295.8944781547076
5305,148.49755727164705,-33.095354909532944,0.0006368412305164384,-217.64090697747366,148.49692043041654,196.1287638904185,-11.583211822477786,302.26446533203125,311.21612911303146
5306,133.99472222974669,-255.31037825520195,0.0,-1320.2420811418503,133.99472222974669,1154.290335275969,-89.35863238932068,295.760986328125,331.55360433698075
5307,321.0520903587651,239.76318094999255,153.31419989312965,180.45367570681717,167.73789046563545,-15.951732772987352,75.26123801616272,290.6676330566406,287.302600042645
5308,82.38119553459487,-121.31195519266133,0.0,-458.9573651166032,82.38119553459487,380.1045942413734,-42.459184317431465,306.3987731933594,322.6743553609375
5309,196.59096636421992,12.875021306819171,59.290313615106186,0.45133993162855823,137.30065274911374,8.236371507846895,4.187309867343717,297.796875,297.9331744075678
5310,391.45178836341745,-36.724558662859685,0.0,-265.80230060339,391.45178836341745,241.9313374725312,-12.85359553200089,300.7250671386719,313.20947856435396
5311,266.8917825159036,430.8464997462186,-13.817613367135493,26.481661956719847,280.7093958830391,261.2118073401106,143.15303044938818,300.2532043457031,312.25580123874977
5312,161.25475148081068,-31.97730791080418,0.0,-161.09753268357076,161.25475148081068,140.31228254154806,-11.192057768781462,292.7232360839844,301.9805711785792
5313,98.8510561032297,-114.64189807583332,0.0,-1012.8387115765455,98.8510561032297,938.3214778272538,-40.12466432654166,307.4457702636719,324.5423182298636
5314,309.6594730760146,145.3049373220686,0.0,-260.1007323316331,309.6594730760146,354.5489415909777,50.85672806272401,304.50701904296875,312.90217936072463
