,Rn_V_pyTSEB,Rn_S_pyTSEB,LE_V_pyTSEB,LE_S_pyTSEB,H_V_pyTSEB,H_S_pyTSEB,G_pyTSEB,Trad_V_pyTSEB,Trad_S_pyTSEB
221,845.1118916495752,-907.6704775337731,0.0,0.0,845.1119,-589.98584,-317.68463,314.41486,404.41464
222,3.5615127306949432,-110.97328783476195,0.0,0.0,3.561512,-72.13264,-38.840652,290.38574,302.65747
223,57.7630448272987,368.145047633182,3.227684,185.81842,54.535355,53.47586,128.85077,286.44547,287.96353
224,240.50673049446323,83.39790464275703,0.0,0.0,240.50673,54.208637,29.189266,314.53537,323.02225
225,1447384.6647845076,-2133991.381397073,,0.0,982576.6,,,4513.5703,1e-06
226,343.6478347014895,86.37430418451692,0.0,0.0,343.64783,56.143303,30.23101,291.04953,297.60397
227,164.0241824282283,2.5956718066862265,0.0,0.0,164.02419,1.6871872,0.9084854,304.8298,313.9576
228,180.11361727674193,-340.87393660914927,0.0,0.0,180.11362,-221.56805,-119.30588,305.28323,347.77744
229,90.52147128810506,176.06149928969234,0.0,0.0,90.52147,114.43998,61.62153,288.8021,301.0509
230,414.71043942143956,-270.2892691711408,0.0,0.0,414.71045,-175.68803,-94.60124,315.43216,349.77078
231,91.49324303492367,-2.0980241092897813,0.0,0.0,91.49325,-1.3637159,-0.7343085,299.17328,299.1865
232,207.62827176233168,56.954649462645946,44.72731,0.6368561,162.90097,36.383667,19.934128,289.03055,289.4252
233,261.247770324857,125.17926649895422,129.57289,89.181366,131.67488,-7.814843,43.812744,313.17957,305.38403
234,333.9546226822842,-84.5628402055408,0.0,0.0,333.95462,-54.965843,-29.596992,287.87335,308.54214
235,568.0201125023748,-83.11115712824761,0.0,0.0,568.02014,-54.022255,-29.088905,298.04047,313.9959
236,271.336617936319,164.18894562198676,0.0,0.0,271.3366,106.72281,57.466125,292.82626,302.74274
237,236.49388124162732,83.9684616436645,24.90709,60.289097,211.5868,-5.70959,29.388964,302.23163,298.82294
238,10.358481711789143,286.43426668995204,0.0,0.0,10.358482,186.18228,100.25199,302.81177,312.2883
239,inf,-inf,,0.0,inf,,,,1e-06
240,inf,-inf,,0.0,inf,,,,1e-06
241,424.5608708144086,41.10391317076201,0.0,0.0,424.56088,26.717545,14.386369,292.89075,311.05777
242,644.6120291344898,-185.89167496788878,0.0,0.0,644.61206,-120.82959,-65.06209,301.30188,327.6299
243,355154748.59240186,-516715517.63504624,,0.0,174097420.0,,,561687.0,1e-06
244,184.3256268525666,-84.59540305845059,0.0,0.0,184.32562,-54.987007,-29.608389,308.49423,323.02386
245,inf,-inf,,0.0,inf,,,,1e-06
246,inf,-inf,,0.0,inf,,,,1e-06
