,lai,fv_var,h_V,row_sep,plant_sep_var,sza_radians,phi_radians,abs_vis_leaf,abs_nir_leaf,rho_vis_soil,rho_nir_soil,Sdn,Srad_dir,Srad_diff,Rc_binomial,Rs_binomial
1147,1.3953125,0.552734375,1.853515625,3.4765625,0.798828125,0.7018814316125634,1.7451247212226115,0.8128906250000001,0.067578125,0.2287109375,0.4255859375,687.9756138130278,399.02199929070065,288.95361452232714,229.33571797883826,332.32072035024225
1148,1.3953125,0.552734375,0.865234375,3.5234375,0.798828125,0.7018814316125634,1.7451247212226115,0.8128906250000001,0.067578125,0.2287109375,0.4255859375,687.9756138130278,399.02199929070065,288.95361452232714,193.1612754125353,351.65531411253505
1149,1.3953125,0.552734375,0.865234375,3.4765625,0.861328125,0.7018814316125634,1.7451247212226115,0.8128906250000001,0.067578125,0.2287109375,0.4255859375,687.9756138130278,399.02199929070065,288.95361452232714,194.23077098099344,351.49598693258713
1150,1.3953125,0.552734375,0.865234375,3.4765625,0.798828125,0.6487034309658611,1.7451247212226115,0.8128906250000001,0.067578125,0.2287109375,0.4255859375,728.9821662415582,435.0755247681663,293.9066414733919,200.91552739698707,374.9876370940345
1151,1.3953125,0.552734375,0.865234375,3.4765625,0.798828125,0.7018814316125634,0.7932385096466416,0.8128906250000001,0.067578125,0.2287109375,0.4255859375,687.9756138130278,399.02199929070065,288.95361452232714,180.26978714286886,361.27748209159284
1152,1.3953125,0.552734375,0.865234375,3.4765625,0.798828125,0.7018814316125634,1.7451247212226115,0.8464843750000001,0.067578125,0.2287109375,0.4255859375,687.9756138130278,399.02199929070065,288.95361452232714,194.988762889626,350.02527812134315
1153,1.3953125,0.552734375,0.865234375,3.4765625,0.798828125,0.7018814316125634,1.7451247212226115,0.8128906250000001,0.064453125,0.2287109375,0.4255859375,687.9756138130278,399.02199929070065,288.95361452232714,192.2199915750299,351.711666457938
1154,1.3953125,0.552734375,0.865234375,3.4765625,0.798828125,0.7018814316125634,1.7451247212226115,0.8128906250000001,0.067578125,0.2736328125,0.4255859375,687.9756138130278,399.02199929070065,288.95361452232714,195.8003703256113,342.41846298927794
1155,1.3953125,0.552734375,0.865234375,3.4765625,0.798828125,0.7018814316125634,1.7451247212226115,0.8128906250000001,0.067578125,0.2287109375,0.3611328125,687.9756138130278,399.02199929070065,288.95361452232714,193.58823302136452,373.8335240583082
1156,6.9734375,0.951171875,1.853515625,3.5234375,0.861328125,0.6487034309658611,0.7932385096466416,0.8464843750000001,0.064453125,0.2736328125,0.3611328125,728.9821662415582,435.0755247681663,293.9066414733919,513.4702063084457,210.72368136279937
1157,4.7953125,0.802734375,3.615234375,6.4765625,0.548828125,1.2691134385107206,0.18305504068768652,0.862890625,0.11757812499999999,0.1037109375,0.3005859375,172.9307862805126,46.62686999957093,126.30391628094166,92.37259355501119,76.91464330402579
1158,3.5734375000000003,0.802734375,3.615234375,6.4765625,0.548828125,1.2691134385107206,0.18305504068768652,0.862890625,0.11757812499999999,0.1037109375,0.3005859375,172.9307862805126,46.62686999957093,126.30391628094166,88.03906631660915,80.15707291486443
1159,4.7953125,0.701171875,3.615234375,6.4765625,0.548828125,1.2691134385107206,0.18305504068768652,0.862890625,0.11757812499999999,0.1037109375,0.3005859375,172.9307862805126,46.62686999957093,126.30391628094166,94.6486375117437,75.13501852951693
1160,4.7953125,0.802734375,4.603515625,6.4765625,0.548828125,1.2691134385107206,0.18305504068768652,0.862890625,0.11757812499999999,0.1037109375,0.3005859375,172.9307862805126,46.62686999957093,126.30391628094166,91.8389381670933,76.78587876996474
1161,4.7953125,0.802734375,3.615234375,6.5234375,0.548828125,1.2691134385107206,0.18305504068768652,0.862890625,0.11757812499999999,0.1037109375,0.3005859375,172.9307862805126,46.62686999957093,126.30391628094166,92.39200034140316,76.91485435222886
